asset_id,store_id,asset_type,make,model,system_version,serial_number,install_date,last_service_date,warranty_expiry
RTR-0043-01,SW-0043,Network Router,NetLink NL-3000,NetLink NL-3000,NetLink NL-3000 v2.2,NL829884,2021-10-12,2023-12-28,2026-04-26
PRN-0043-P1,SW-0043,Receipt Printer,EpsonTM-T88VI,EpsonTM-T88VI,EpsonTM-T88VI v1.12,EP183074,2020-02-08,2023-05-12,2026-03-18
POS-0044-T1,SW-0044,POS Terminal,OrbitPOS,OrbitPOS Terminal 1,OrbitPOS v2.1,FT913875,2022-05-16,2023-02-26,2025-05-16
RTR-0044-01,SW-0044,Network Router,NetLink NL-3000,NetLink NL-3000,NetLink NL-3000 v2.2,NL349183,2022-09-09,2023-03-04,2025-02-18
PRN-0044-P1,SW-0044,Receipt Printer,StarMC Print v2,StarMC Print v2,StarMC Print v2 v3.0,EP165858,2020-08-15,2023-09-13,2025-02-03
PRN-0044-P2,SW-0044,Receipt Printer,EpsonTM-T88VI,EpsonTM-T88VI,EpsonTM-T88VI v1.12,EP853448,2020-10-21,2023-05-30,2027-05-30
POS-0045-T1,SW-0045,POS Terminal,FoodTech POS,FoodTech POS Terminal 1,FoodTech POS v4.2.2,FT189772,2023-09-22,2023-12-09,2026-09-22
RTR-0045-01,SW-0045,Network Router,Cisco SG350,Cisco SG350,Cisco SG350 15.2.1,NL478120,2021-05-19,2023-09-27,2026-07-12
PRN-0045-P1,SW-0045,Receipt Printer,EpsonTM-T88VI,EpsonTM-T88VI,EpsonTM-T88VI v1.12,EP509420,2022-08-20,2023-01-23,2027-03-04
SSM-0045-01,SW-0045,Soft Serve Machine,FrostyPro 800,FrostyPro 800,FrostyPro 800 v1.8,CT365971,2021-02-03,2023-07-02,2025-03-11
POS-0046-T1,SW-0046,POS Terminal,OrbitPOS,OrbitPOS Terminal 1,OrbitPOS v2.1,FT146489,2021-11-11,2023-03-10,2024-11-11
RTR-0046-01,SW-0046,Network Router,NetLink NL-3000,NetLink NL-3000,NetLink NL-3000 v2.2,NL672536,2022-11-25,2023-11-26,2025-06-29
PRN-0046-P1,SW-0046,Receipt Printer,StarMC Print v2,StarMC Print v2,StarMC Print v2 v3.0,EP829168,2022-09-07,2023-11-20,2026-01-09
SSM-0046-01,SW-0046,Soft Serve Machine,CreamTech SC-500,CreamTech SC-500,CreamTech SC-500 v2.4,CT166165,2023-07-27,2023-01-19,2025-10-28
POS-0047-T1,SW-0047,POS Terminal,FoodTech POS,FoodTech POS Terminal 1,FoodTech POS v5.1.0,FT517568,2021-09-27,2023-09-21,2024-09-27
RTR-0047-01,SW-0047,Network Router,Cisco SG350,Cisco SG350,Cisco SG350 15.2.1,NL596395,2022-06-03,2023-01-19,2026-10-25
PRN-0047-P1,SW-0047,Receipt Printer,StarMC Print v2,StarMC Print v2,StarMC Print v2 v3.0,EP918771,2020-04-07,2023-12-02,2026-11-11
PRN-0047-P2,SW-0047,Receipt Printer,StarMC Print v2,StarMC Print v2,StarMC Print v2 v3.0,EP230521,2022-01-23,2023-08-12,2027-03-31
SSM-0047-01,SW-0047,Soft Serve Machine,FrostyPro 800,FrostyPro 800,FrostyPro 800 v2.0,CT505426,2022-11-26,2023-04-06,2026-05-24
POS-0048-T1,SW-0048,POS Terminal,FoodTech POS,FoodTech POS Terminal 1,FoodTech POS v4.2.3,FT182760,2020-06-18,2023-08-06,2023-06-18
RTR-0048-01,SW-0048,Network Router,NetLink NL-3000,NetLink NL-3000,NetLink NL-3000 v2.2,NL731718,2022-01-05,2023-10-07,2025-10-28
PRN-0048-P1,SW-0048,Receipt Printer,EpsonTM-T88VI,EpsonTM-T88VI,EpsonTM-T88VI v1.12,EP443848,2023-09-15,2023-06-01,2026-09-20
POS-0049-T1,SW-0049,POS Terminal,OrbitPOS,OrbitPOS Terminal 1,OrbitPOS v2.0,FT144412,2021-12-20,2023-08-17,2024-12-20
POS-0049-T2,SW-0049,POS Terminal,FoodTech POS,FoodTech POS Terminal 2,FoodTech POS v4.2.3,FT387892,2023-06-13,2023-08-11,2026-06-13
RTR-0049-01,SW-0049,Network Router,Cisco SG350,Cisco SG350,Cisco SG350 15.2.1,NL929924,2021-04-28,2023-02-08,2026-11-19
PRN-0049-P1,SW-0049,Receipt Printer,StarMC Print v2,StarMC Print v2,StarMC Print v2 v3.0,EP638009,2023-10-23,2023-03-23,2025-03-05
POS-0050-T1,SW-0050,POS Terminal,FoodTech POS,FoodTech POS Terminal 1,FoodTech POS v4.2.3,FT347459,2020-09-15,2023-02-04,2023-09-15
RTR-0050-01,SW-0050,Network Router,Cisco SG350,Cisco SG350,Cisco SG350 15.2.1,NL484123,2023-01-12,2023-07-16,2026-08-04
PRN-0050-P1,SW-0050,Receipt Printer,EpsonTM-T88VI,EpsonTM-T88VI,EpsonTM-T88VI v1.12,EP812048,2022-07-10,2023-07-09,2027-02-01
PRN-0050-P2,SW-0050,Receipt Printer,StarMC Print v2,StarMC Print v2,StarMC Print v2 v3.0,EP900152,2020-06-06,2023-10-21,2025-10-09
SSM-0050-01,SW-0050,Soft Serve Machine,FrostyPro 800,FrostyPro 800,FrostyPro 800 v1.8,CT517368,2022-10-06,2023-11-29,2025-10-13
POS-0051-T1,SW-0051,POS Terminal,FoodTech POS,FoodTech POS Terminal 1,FoodTech POS v5.1.0,FT688956,2022-11-26,2023-07-18,2025-11-26
RTR-0051-01,SW-0051,Network Router,NetLink NL-3000,NetLink NL-3000,NetLink NL-3000 v2.1,NL374492,2022-06-18,2023-12-27,2026-04-02
PRN-0051-P1,SW-0051,Receipt Printer,StarMC Print v2,StarMC Print v2,StarMC Print v2 v3.0,EP827691,2022-10-02,2023-04-13,2025-09-09
PRN-0051-P2,SW-0051,Receipt Printer,EpsonTM-T88VI,EpsonTM-T88VI,EpsonTM-T88VI v1.12,EP994253,2020-05-31,2023-08-20,2025-12-20
SSM-0051-01,SW-0051,Soft Serve Machine,FrostyPro 800,FrostyPro 800,FrostyPro 800 v2.0,CT192055,2022-10-17,2023-12-08,2025-12-22
KSK-0051-01,SW-0051,Self-Order Kiosk,TouchPoint K1,TouchPoint K1,TouchPoint K1 v1.1,KS168093,2023-07-18,2023-10-05,2026-10-25
POS-0052-T1,SW-0052,POS Terminal,FoodTech POS,FoodTech POS Terminal 1,FoodTech POS v4.2.2,FT335134,2022-01-10,2023-09-18,2025-01-10
RTR-0052-01,SW-0052,Network Router,NetLink NL-3000,NetLink NL-3000,NetLink NL-3000 v2.1,NL310743,2021-10-12,2023-05-02,2026-05-21
PRN-0052-P1,SW-0052,Receipt Printer,StarMC Print v2,StarMC Print v2,StarMC Print v2 v3.0,EP590110,2023-02-03,2023-03-08,2025-06-26
PRN-0052-P2,SW-0052,Receipt Printer,EpsonTM-T88VI,EpsonTM-T88VI,EpsonTM-T88VI v1.12,EP424314,2022-03-26,2023-09-03,2027-12-13
POS-0053-T1,SW-0053,POS Terminal,FoodTech POS,FoodTech POS Terminal 1,FoodTech POS v4.2.2,FT177767,2021-10-11,2023-11-25,2024-10-11
RTR-0053-01,SW-0053,Network Router,NetLink NL-3000,NetLink NL-3000,NetLink NL-3000 v2.2,NL588461,2023-11-26,2023-06-26,2025-05-12
PRN-0053-P1,SW-0053,Receipt Printer,EpsonTM-T88VI,EpsonTM-T88VI,EpsonTM-T88VI v1.12,EP905077,2020-09-21,2023-08-10,2027-10-27
POS-0054-T1,SW-0054,POS Terminal,FoodTech POS,FoodTech POS Terminal 1,FoodTech POS v4.2.2,FT269834,2021-09-14,2023-03-26,2024-09-14
POS-0054-T2,SW-0054,POS Terminal,FoodTech POS,FoodTech POS Terminal 2,FoodTech POS v4.2.3,FT462831,2023-12-23,2023-04-26,2026-12-23
RTR-0054-01,SW-0054,Network Router,Cisco SG350,Cisco SG350,Cisco SG350 15.2.1,NL397846,2021-06-11,2023-05-09,2025-07-21
PRN-0054-P1,SW-0054,Receipt Printer,StarMC Print v2,StarMC Print v2,StarMC Print v2 v3.0,EP231250,2023-07-04,2023-06-05,2027-12-29
KSK-0054-01,SW-0054,Self-Order Kiosk,ServeWell Kiosk,ServeWell Kiosk,ServeWell Kiosk v2.0,KS626986,2023-10-19,2023-03-28,2027-08-30
POS-0055-T1,SW-0055,POS Terminal,OrbitPOS,OrbitPOS Terminal 1,OrbitPOS v2.1,FT143195,2021-11-22,2023-10-16,2024-11-22
RTR-0055-01,SW-0055,Network Router,NetLink NL-3000,NetLink NL-3000,NetLink NL-3000 v2.1,NL185168,2021-04-04,2023-11-25,2026-08-14
PRN-0055-P1,SW-0055,Receipt Printer,EpsonTM-T88VI,EpsonTM-T88VI,EpsonTM-T88VI v1.12,EP904214,2023-03-17,2023-08-02,2025-03-04
POS-0056-T1,SW-0056,POS Terminal,FoodTech POS,FoodTech POS Terminal 1,FoodTech POS v4.2.3,FT943776,2022-09-16,2023-05-06,2025-09-16
RTR-0056-01,SW-0056,Network Router,Cisco SG350,Cisco SG350,Cisco SG350 15.2.1,NL525818,2022-09-02,2023-08-21,2025-03-16
PRN-0056-P1,SW-0056,Receipt Printer,EpsonTM-T88VI,EpsonTM-T88VI,EpsonTM-T88VI v1.12,EP560959,2022-05-01,2023-09-05,2027-08-10
POS-0057-T1,SW-0057,POS Terminal,FoodTech POS,FoodTech POS Terminal 1,FoodTech POS v4.2.3,FT237118,2021-12-08,2023-07-24,2024-12-08
RTR-0057-01,SW-0057,Network Router,NetLink NL-3000,NetLink NL-3000,NetLink NL-3000 v2.2,NL639995,2021-08-06,2023-06-13,2025-09-05
PRN-0057-P1,SW-0057,Receipt Printer,StarMC Print v2,StarMC Print v2,StarMC Print v2 v3.0,EP571435,2021-05-22,2023-03-14,2025-07-18
SSM-0057-01,SW-0057,Soft Serve Machine,CreamTech SC-300,CreamTech SC-300,CreamTech SC-300 v3.1,CT404309,2023-02-26,2023-11-12,2026-03-05
POS-0058-T1,SW-0058,POS Terminal,FoodTech POS,FoodTech POS Terminal 1,FoodTech POS v4.2.3,FT299055,2023-03-29,2023-06-10,2026-03-29
POS-0058-T2,SW-0058,POS Terminal,FoodTech POS,FoodTech POS Terminal 2,FoodTech POS v4.2.2,FT589491,2022-10-17,2023-09-21,2025-10-17
RTR-0058-01,SW-0058,Network Router,NetLink NL-3000,NetLink NL-3000,NetLink NL-3000 v2.2,NL423528,2023-10-16,2023-01-12,2025-04-03
PRN-0058-P1,SW-0058,Receipt Printer,StarMC Print v2,StarMC Print v2,StarMC Print v2 v3.0,EP352422,2021-03-16,2023-10-26,2026-12-24
SSM-0058-01,SW-0058,Soft Serve Machine,CreamTech SC-300,CreamTech SC-300,CreamTech SC-300 v3.1,CT152995,2022-07-31,2023-09-11,2026-09-04
POS-0059-T1,SW-0059,POS Terminal,FoodTech POS,FoodTech POS Terminal 1,FoodTech POS v5.1.1,FT551860,2020-01-17,2023-02-25,2023-01-17
RTR-0059-01,SW-0059,Network Router,NetLink NL-3000,NetLink NL-3000,NetLink NL-3000 v2.1,NL377319,2023-01-20,2023-07-26,2026-01-10
PRN-0059-P1,SW-0059,Receipt Printer,EpsonTM-T88VI,EpsonTM-T88VI,EpsonTM-T88VI v1.12,EP697983,2023-02-24,2023-04-10,2027-01-13
PRN-0059-P2,SW-0059,Receipt Printer,StarMC Print v2,StarMC Print v2,StarMC Print v2 v3.0,EP177103,2022-03-02,2023-09-16,2027-07-12
POS-0060-T1,SW-0060,POS Terminal,FoodTech POS,FoodTech POS Terminal 1,FoodTech POS v5.1.1,FT234913,2023-06-05,2023-03-02,2026-06-05
RTR-0060-01,SW-0060,Network Router,NetLink NL-3000,NetLink NL-3000,NetLink NL-3000 v2.1,NL513037,2023-02-04,2023-06-23,2026-07-26
PRN-0060-P1,SW-0060,Receipt Printer,EpsonTM-T88VI,EpsonTM-T88VI,EpsonTM-T88VI v1.12,EP308727,2023-05-18,2023-09-18,2027-04-03
KSK-0060-01,SW-0060,Self-Order Kiosk,TouchPoint K1,TouchPoint K1,TouchPoint K1 v1.1,KS142210,2022-02-16,2023-01-20,2026-05-21
POS-0061-T1,SW-0061,POS Terminal,FoodTech POS,FoodTech POS Terminal 1,FoodTech POS v4.2.3,FT246570,2023-05-26,2023-09-21,2026-05-26
RTR-0061-01,SW-0061,Network Router,NetLink NL-3000,NetLink NL-3000,NetLink NL-3000 v2.2,NL742848,2022-10-15,2023-03-25,2026-02-07
PRN-0061-P1,SW-0061,Receipt Printer,StarMC Print v2,StarMC Print v2,StarMC Print v2 v3.0,EP722565,2021-11-19,2023-09-17,2027-11-10
POS-0062-T1,SW-0062,POS Terminal,FoodTech POS,FoodTech POS Terminal 1,FoodTech POS v4.2.1,FT806537,2022-01-24,2023-06-19,2025-01-24
RTR-0062-01,SW-0062,Network Router,NetLink NL-3000,NetLink NL-3000,NetLink NL-3000 v2.1,NL536774,2022-09-23,2023-12-19,2026-10-07
PRN-0062-P1,SW-0062,Receipt Printer,StarMC Print v2,StarMC Print v2,StarMC Print v2 v3.0,EP378428,2023-09-04,2023-10-24,2026-04-12
PRN-0062-P2,SW-0062,Receipt Printer,EpsonTM-T88VI,EpsonTM-T88VI,EpsonTM-T88VI v1.12,EP711868,2022-09-10,2023-03-29,2027-12-10
POS-0063-T1,SW-0063,POS Terminal,FoodTech POS,FoodTech POS Terminal 1,FoodTech POS v4.2.2,FT133104,2023-10-26,2023-05-05,2026-10-26
RTR-0063-01,SW-0063,Network Router,Cisco SG350,Cisco SG350,Cisco SG350 15.2.1,NL834549,2021-08-14,2023-04-08,2025-01-20
PRN-0063-P1,SW-0063,Receipt Printer,StarMC Print v2,StarMC Print v2,StarMC Print v2 v3.0,EP258787,2022-04-25,2023-12-20,2026-02-22
POS-0064-T1,SW-0064,POS Terminal,FoodTech POS,FoodTech POS Terminal 1,FoodTech POS v4.2.1,FT643878,2023-12-16,2023-03-12,2026-12-16
RTR-0064-01,SW-0064,Network Router,NetLink NL-3000,NetLink NL-3000,NetLink NL-3000 v2.1,NL688132,2022-10-28,2023-12-06,2026-05-05
PRN-0064-P1,SW-0064,Receipt Printer,StarMC Print v2,StarMC Print v2,StarMC Print v2 v3.0,EP281594,2022-07-30,2023-09-30,2026-12-03
POS-0065-T1,SW-0065,POS Terminal,FoodTech POS,FoodTech POS Terminal 1,FoodTech POS v5.1.1,FT377203,2023-08-10,2023-12-21,2026-08-10
RTR-0065-01,SW-0065,Network Router,Cisco SG350,Cisco SG350,Cisco SG350 15.2.1,NL607699,2022-01-29,2023-05-07,2025-10-13
PRN-0065-P1,SW-0065,Receipt Printer,EpsonTM-T88VI,EpsonTM-T88VI,EpsonTM-T88VI v1.12,EP412071,2021-08-14,2023-12-27,2026-03-01
POS-0066-T1,SW-0066,POS Terminal,OrbitPOS,OrbitPOS Terminal 1,OrbitPOS v2.1,FT227794,2021-07-14,2023-05-28,2024-07-14
RTR-0066-01,SW-0066,Network Router,Cisco SG350,Cisco SG350,Cisco SG350 15.2.1,NL809489,2023-02-17,2023-07-22,2025-12-20
PRN-0066-P1,SW-0066,Receipt Printer,EpsonTM-T88VI,EpsonTM-T88VI,EpsonTM-T88VI v1.12,EP404561,2020-03-27,2023-05-28,2025-06-11
POS-0067-T1,SW-0067,POS Terminal,FoodTech POS,FoodTech POS Terminal 1,FoodTech POS v5.1.0,FT968170,2021-03-14,2023-04-14,2024-03-14
POS-0067-T2,SW-0067,POS Terminal,FoodTech POS,FoodTech POS Terminal 2,FoodTech POS v5.1.1,FT829988,2021-07-09,2023-10-15,2024-07-09
RTR-0067-01,SW-0067,Network Router,NetLink NL-3000,NetLink NL-3000,NetLink NL-3000 v2.2,NL243941,2021-08-12,2023-11-12,2026-08-24
PRN-0067-P1,SW-0067,Receipt Printer,EpsonTM-T88VI,EpsonTM-T88VI,EpsonTM-T88VI v1.12,EP802371,2022-12-23,2023-04-26,2026-04-22
PRN-0067-P2,SW-0067,Receipt Printer,EpsonTM-T88VI,EpsonTM-T88VI,EpsonTM-T88VI v1.12,EP205065,2022-04-26,2023-06-19,2027-08-26
SSM-0067-01,SW-0067,Soft Serve Machine,CreamTech SC-300,CreamTech SC-300,CreamTech SC-300 v3.1,CT814281,2021-10-09,2023-01-03,2026-07-18
POS-0068-T1,SW-0068,POS Terminal,OrbitPOS,OrbitPOS Terminal 1,OrbitPOS v2.0,FT309144,2022-09-04,2023-11-30,2025-09-04
RTR-0068-01,SW-0068,Network Router,NetLink NL-3000,NetLink NL-3000,NetLink NL-3000 v2.2,NL436768,2022-08-08,2023-11-27,2025-03-02
PRN-0068-P1,SW-0068,Receipt Printer,EpsonTM-T88VI,EpsonTM-T88VI,EpsonTM-T88VI v1.12,EP783984,2023-03-21,2023-04-29,2028-01-01
POS-0069-T1,SW-0069,POS Terminal,FoodTech POS,FoodTech POS Terminal 1,FoodTech POS v4.2.2,FT138105,2022-05-05,2023-04-01,2025-05-05
POS-0069-T2,SW-0069,POS Terminal,OrbitPOS,OrbitPOS Terminal 2,OrbitPOS v2.0,FT885386,2022-10-11,2023-04-06,2025-10-11
RTR-0069-01,SW-0069,Network Router,NetLink NL-3000,NetLink NL-3000,NetLink NL-3000 v2.2,NL139286,2021-01-19,2023-06-02,2026-08-05
PRN-0069-P1,SW-0069,Receipt Printer,StarMC Print v2,StarMC Print v2,StarMC Print v2 v3.0,EP398384,2022-07-19,2023-11-25,2027-12-10
POS-0070-T1,SW-0070,POS Terminal,FoodTech POS,FoodTech POS Terminal 1,FoodTech POS v5.1.0,FT948102,2021-07-12,2023-04-09,2024-07-12
RTR-0070-01,SW-0070,Network Router,NetLink NL-3000,NetLink NL-3000,NetLink NL-3000 v2.1,NL446747,2021-11-29,2023-08-23,2026-10-26
PRN-0070-P1,SW-0070,Receipt Printer,EpsonTM-T88VI,EpsonTM-T88VI,EpsonTM-T88VI v1.12,EP114768,2021-11-21,2023-06-01,2026-01-31
POS-0071-T1,SW-0071,POS Terminal,OrbitPOS,OrbitPOS Terminal 1,OrbitPOS v2.0,FT190951,2022-11-21,2023-06-17,2025-11-21
RTR-0071-01,SW-0071,Network Router,NetLink NL-3000,NetLink NL-3000,NetLink NL-3000 v2.2,NL801765,2021-07-15,2023-04-05,2025-05-24
PRN-0071-P1,SW-0071,Receipt Printer,EpsonTM-T88VI,EpsonTM-T88VI,EpsonTM-T88VI v1.12,EP107161,2021-06-18,2023-07-16,2026-04-28
SSM-0071-01,SW-0071,Soft Serve Machine,FrostyPro 800,FrostyPro 800,FrostyPro 800 v2.0,CT890371,2022-07-01,2023-06-18,2025-11-06
POS-0072-T1,SW-0072,POS Terminal,FoodTech POS,FoodTech POS Terminal 1,FoodTech POS v4.2.3,FT165142,2023-11-19,2023-05-01,2026-11-19
RTR-0072-01,SW-0072,Network Router,Cisco SG350,Cisco SG350,Cisco SG350 15.2.1,NL223967,2023-08-12,2023-06-07,2025-06-13
PRN-0072-P1,SW-0072,Receipt Printer,StarMC Print v2,StarMC Print v2,StarMC Print v2 v3.0,EP823821,2020-08-28,2023-11-24,2026-08-28
POS-0073-T1,SW-0073,POS Terminal,OrbitPOS,OrbitPOS Terminal 1,OrbitPOS v2.0,FT884056,2020-11-09,2023-08-21,2023-11-09
RTR-0073-01,SW-0073,Network Router,Cisco SG350,Cisco SG350,Cisco SG350 15.2.1,NL491774,2023-05-02,2023-12-26,2026-07-17
PRN-0073-P1,SW-0073,Receipt Printer,EpsonTM-T88VI,EpsonTM-T88VI,EpsonTM-T88VI v1.12,EP898867,2021-05-21,2023-12-15,2025-06-17
POS-0074-T1,SW-0074,POS Terminal,OrbitPOS,OrbitPOS Terminal 1,OrbitPOS v2.1,FT969032,2020-08-17,2023-02-01,2023-08-17
RTR-0074-01,SW-0074,Network Router,Cisco SG350,Cisco SG350,Cisco SG350 15.2.1,NL630041,2022-02-19,2023-10-21,2026-07-04
PRN-0074-P1,SW-0074,Receipt Printer,StarMC Print v2,StarMC Print v2,StarMC Print v2 v3.0,EP995993,2022-12-01,2023-08-15,2025-08-27
PRN-0074-P2,SW-0074,Receipt Printer,EpsonTM-T88VI,EpsonTM-T88VI,EpsonTM-T88VI v1.12,EP851742,2023-04-09,2023-09-08,2025-07-06
POS-0075-T1,SW-0075,POS Terminal,FoodTech POS,FoodTech POS Terminal 1,FoodTech POS v4.2.3,FT578987,2022-11-17,2023-08-01,2025-11-17
POS-0075-T2,SW-0075,POS Terminal,FoodTech POS,FoodTech POS Terminal 2,FoodTech POS v5.1.1,FT584838,2020-04-28,2023-10-14,2023-04-28
RTR-0075-01,SW-0075,Network Router,Cisco SG350,Cisco SG350,Cisco SG350 15.2.1,NL946112,2022-09-24,2023-01-12,2026-02-10
PRN-0075-P1,SW-0075,Receipt Printer,EpsonTM-T88VI,EpsonTM-T88VI,EpsonTM-T88VI v1.12,EP882032,2021-03-22,2023-10-24,2025-05-30
POS-0076-T1,SW-0076,POS Terminal,FoodTech POS,FoodTech POS Terminal 1,FoodTech POS v4.2.1,FT133276,2020-05-21,2023-08-30,2023-05-21
POS-0076-T2,SW-0076,POS Terminal,FoodTech POS,FoodTech POS Terminal 2,FoodTech POS v4.2.3,FT906325,2022-04-17,2023-04-03,2025-04-17
RTR-0076-01,SW-0076,Network Router,NetLink NL-3000,NetLink NL-3000,NetLink NL-3000 v2.1,NL903028,2023-05-11,2023-07-11,2026-01-27
PRN-0076-P1,SW-0076,Receipt Printer,StarMC Print v2,StarMC Print v2,StarMC Print v2 v3.0,EP493892,2020-06-13,2023-12-16,2025-09-30
SSM-0076-01,SW-0076,Soft Serve Machine,FrostyPro 800,FrostyPro 800,FrostyPro 800 v1.8,CT224395,2022-01-01,2023-10-03,2026-02-07
POS-0077-T1,SW-0077,POS Terminal,FoodTech POS,FoodTech POS Terminal 1,FoodTech POS v4.2.1,FT585494,2020-02-16,2023-06-02,2023-02-16
RTR-0077-01,SW-0077,Network Router,Cisco SG350,Cisco SG350,Cisco SG350 15.2.1,NL854024,2023-05-19,2023-09-30,2026-01-24
PRN-0077-P1,SW-0077,Receipt Printer,EpsonTM-T88VI,EpsonTM-T88VI,EpsonTM-T88VI v1.12,EP583000,2021-12-09,2023-03-21,2026-07-19
POS-0078-T1,SW-0078,POS Terminal,FoodTech POS,FoodTech POS Terminal 1,FoodTech POS v4.2.1,FT744793,2023-09-14,2023-08-03,2026-09-14
RTR-0078-01,SW-0078,Network Router,NetLink NL-3000,NetLink NL-3000,NetLink NL-3000 v2.1,NL352356,2022-02-27,2023-02-04,2025-04-14
PRN-0078-P1,SW-0078,Receipt Printer,StarMC Print v2,StarMC Print v2,StarMC Print v2 v3.0,EP726822,2023-10-08,2023-12-27,2025-04-10
SSM-0078-01,SW-0078,Soft Serve Machine,CreamTech SC-500,CreamTech SC-500,CreamTech SC-500 v2.4,CT876513,2021-04-01,2023-07-25,2026-03-26
POS-0079-T1,SW-0079,POS Terminal,FoodTech POS,FoodTech POS Terminal 1,FoodTech POS v4.2.1,FT403314,2020-10-13,2023-09-15,2023-10-13
RTR-0079-01,SW-0079,Network Router,NetLink NL-3000,NetLink NL-3000,NetLink NL-3000 v2.1,NL955413,2022-10-16,2023-10-23,2026-09-05
PRN-0079-P1,SW-0079,Receipt Printer,StarMC Print v2,StarMC Print v2,StarMC Print v2 v3.0,EP348411,2021-09-10,2023-03-15,2027-12-04
SSM-0079-01,SW-0079,Soft Serve Machine,CreamTech SC-500,CreamTech SC-500,CreamTech SC-500 v2.4,CT533649,2022-09-08,2023-05-21,2025-03-04
POS-0080-T1,SW-0080,POS Terminal,FoodTech POS,FoodTech POS Terminal 1,FoodTech POS v4.2.2,FT547952,2023-07-06,2023-12-14,2026-07-06
RTR-0080-01,SW-0080,Network Router,Cisco SG350,Cisco SG350,Cisco SG350 15.2.1,NL619696,2021-04-07,2023-06-26,2026-10-21
PRN-0080-P1,SW-0080,Receipt Printer,StarMC Print v2,StarMC Print v2,StarMC Print v2 v3.0,EP830132,2022-05-02,2023-07-29,2025-11-02
POS-0081-T1,SW-0081,POS Terminal,FoodTech POS,FoodTech POS Terminal 1,FoodTech POS v4.2.2,FT999197,2021-04-06,2023-06-03,2024-04-06
RTR-0081-01,SW-0081,Network Router,Cisco SG350,Cisco SG350,Cisco SG350 15.2.1,NL251363,2023-08-07,2023-01-30,2026-07-30
PRN-0081-P1,SW-0081,Receipt Printer,StarMC Print v2,StarMC Print v2,StarMC Print v2 v3.0,EP684357,2022-12-21,2023-03-10,2027-03-07
SSM-0081-01,SW-0081,Soft Serve Machine,CreamTech SC-500,CreamTech SC-500,CreamTech SC-500 v2.4,CT367382,2022-02-21,2023-06-19,2026-10-25
POS-0082-T1,SW-0082,POS Terminal,FoodTech POS,FoodTech POS Terminal 1,FoodTech POS v5.1.1,FT381502,2021-01-25,2023-01-27,2024-01-25
POS-0082-T2,SW-0082,POS Terminal,FoodTech POS,FoodTech POS Terminal 2,FoodTech POS v5.1.0,FT732209,2023-10-11,2023-11-06,2026-10-11
RTR-0082-01,SW-0082,Network Router,NetLink NL-3000,NetLink NL-3000,NetLink NL-3000 v2.1,NL176319,2022-01-21,2023-10-28,2026-11-19
PRN-0082-P1,SW-0082,Receipt Printer,StarMC Print v2,StarMC Print v2,StarMC Print v2 v3.0,EP319036,2021-11-12,2023-06-05,2025-02-01
SSM-0082-01,SW-0082,Soft Serve Machine,CreamTech SC-500,CreamTech SC-500,CreamTech SC-500 v2.4,CT299254,2021-08-29,2023-09-03,2025-09-06
POS-0083-T1,SW-0083,POS Terminal,FoodTech POS,FoodTech POS Terminal 1,FoodTech POS v4.2.3,FT913185,2023-02-04,2023-06-14,2026-02-04
POS-0083-T2,SW-0083,POS Terminal,FoodTech POS,FoodTech POS Terminal 2,FoodTech POS v5.1.0,FT659572,2022-02-18,2023-08-27,2025-02-18
RTR-0083-01,SW-0083,Network Router,Cisco SG350,Cisco SG350,Cisco SG350 15.2.1,NL476710,2022-09-24,2023-05-14,2026-01-04
PRN-0083-P1,SW-0083,Receipt Printer,StarMC Print v2,StarMC Print v2,StarMC Print v2 v3.0,EP588640,2020-07-20,2023-08-29,2026-10-18
POS-0084-T1,SW-0084,POS Terminal,FoodTech POS,FoodTech POS Terminal 1,FoodTech POS v5.1.1,FT117007,2021-03-29,2023-03-16,2024-03-29
POS-0084-T2,SW-0084,POS Terminal,FoodTech POS,FoodTech POS Terminal 2,FoodTech POS v5.1.0,FT707275,2023-02-07,2023-10-27,2026-02-07
RTR-0084-01,SW-0084,Network Router,Cisco SG350,Cisco SG350,Cisco SG350 15.2.1,NL537862,2022-08-28,2023-03-20,2025-07-20
PRN-0084-P1,SW-0084,Receipt Printer,StarMC Print v2,StarMC Print v2,StarMC Print v2 v3.0,EP697467,2021-05-18,2023-09-13,2026-11-23
POS-0085-T1,SW-0085,POS Terminal,FoodTech POS,FoodTech POS Terminal 1,FoodTech POS v5.1.1,FT276405,2022-10-01,2023-08-24,2025-10-01
RTR-0085-01,SW-0085,Network Router,Cisco SG350,Cisco SG350,Cisco SG350 15.2.1,NL933592,2022-12-23,2023-03-28,2025-05-24
PRN-0085-P1,SW-0085,Receipt Printer,StarMC Print v2,StarMC Print v2,StarMC Print v2 v3.0,EP292988,2023-01-15,2023-11-25,2025-05-01
SSM-0085-01,SW-0085,Soft Serve Machine,CreamTech SC-300,CreamTech SC-300,CreamTech SC-300 v3.1,CT979827,2021-06-02,2023-12-09,2025-02-19
POS-0086-T1,SW-0086,POS Terminal,FoodTech POS,FoodTech POS Terminal 1,FoodTech POS v4.2.2,FT258366,2020-05-19,2023-12-29,2023-05-19
RTR-0086-01,SW-0086,Network Router,NetLink NL-3000,NetLink NL-3000,NetLink NL-3000 v2.1,NL329344,2023-11-02,2023-08-22,2026-01-18
